00:00:00.233,00:00:00.733,00:00:01.233,00:00:01.733,00:00:02.800,00:00:03.466,00:00:04.000,00:00:07.000,00:00:16.066,00:00:17.866,00:00:31.000,00:00:37.833,00:00:40.200,00:00:47.833,00:01:39.900,00:01:43.666,00:02:01.366,00:02:08.033,00:03:11.033,00:03:12.466,00:03:46.566,00:03:47.633,00:03:52.700,00:03:59.766,00:04:08.866,00:04:10.266,00:04:16.233,00:04:44.666,00:05:40.866,00:05:43.966,00:05:56.000,00:06:21.033,00:06:21.900,00:06:36.466,00:06:45.766,00:06:48.500,00:06:54.433,00:07:03.133,00:07:26.600,00:07:49.400,00:07:50.900,00:09:02.066,00:09:09.866,00:10:57.000,00:11:20.866,00:11:54.933,00:12:01.033,00:12:19.700,00:12:24.333,00:12:28.133,00:13:54.733,00:13:59.366,00:15:21.033,00:15:45.166,00:16:08.033,00:16:39.400,00:17:32.266,00:17:37.033,00:17:37.733,00:18:27.700,00:19:33.200,00:19:55.233,00:21:01.700,00:21:08.300,00:21:09.100,00:22:00.433,00:22:21.800,00:22:23.900,00:24:18.133,00:24:20.900,00:24:36.400,00:24:37.600,00:24:47.166
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,7,00:00:00.233,0.233333333333,0.5
2,22,00:00:00.733,0.733333333333,0.5
3,37,00:00:01.233,1.23333333333,0.5
4,52,00:00:01.733,1.73333333333,1.06666666667
5,84,00:00:02.800,2.8,0.666666666667
6,104,00:00:03.466,3.46666666667,0.533333333333
7,120,00:00:04.000,4.0,3.0
8,210,00:00:07.000,7.0,9.06666666667
9,482,00:00:16.066,16.0666666667,1.8
10,536,00:00:17.866,17.8666666667,13.1333333333
11,930,00:00:31.000,31.0,6.83333333333
12,1135,00:00:37.833,37.8333333333,2.36666666667
13,1206,00:00:40.200,40.2,7.63333333333
14,1435,00:00:47.833,47.8333333333,52.0666666667
15,2997,00:01:39.900,99.9,3.76666666667
16,3110,00:01:43.666,103.666666667,17.7
17,3641,00:02:01.366,121.366666667,6.66666666667
18,3841,00:02:08.033,128.033333333,63.0
19,5731,00:03:11.033,191.033333333,1.43333333333
20,5774,00:03:12.466,192.466666667,34.1
21,6797,00:03:46.566,226.566666667,1.06666666667
22,6829,00:03:47.633,227.633333333,5.06666666667
23,6981,00:03:52.700,232.7,7.06666666667
24,7193,00:03:59.766,239.766666667,9.1
25,7466,00:04:08.866,248.866666667,1.4
26,7508,00:04:10.266,250.266666667,5.96666666667
27,7687,00:04:16.233,256.233333333,28.4333333333
28,8540,00:04:44.666,284.666666667,56.2
29,10226,00:05:40.866,340.866666667,3.1
30,10319,00:05:43.966,343.966666667,12.0333333333
31,10680,00:05:56.000,356.0,25.0333333333
32,11431,00:06:21.033,381.033333333,0.866666666667
33,11457,00:06:21.900,381.9,14.5666666667
34,11894,00:06:36.466,396.466666667,9.3
35,12173,00:06:45.766,405.766666667,2.73333333333
36,12255,00:06:48.500,408.5,5.93333333333
37,12433,00:06:54.433,414.433333333,8.7
38,12694,00:07:03.133,423.133333333,23.4666666667
39,13398,00:07:26.600,446.6,22.8
40,14082,00:07:49.400,469.4,1.5
41,14127,00:07:50.900,470.9,71.1666666667
42,16262,00:09:02.066,542.066666667,7.8
43,16496,00:09:09.866,549.866666667,107.133333333
44,19710,00:10:57.000,657.0,23.8666666667
45,20426,00:11:20.866,680.866666667,34.0666666667
46,21448,00:11:54.933,714.933333333,6.1
47,21631,00:12:01.033,721.033333333,18.6666666667
48,22191,00:12:19.700,739.7,4.63333333333
49,22330,00:12:24.333,744.333333333,3.8
50,22444,00:12:28.133,748.133333333,86.6
51,25042,00:13:54.733,834.733333333,4.63333333333
52,25181,00:13:59.366,839.366666667,81.6666666667
53,27631,00:15:21.033,921.033333333,24.1333333333
54,28355,00:15:45.166,945.166666667,22.8666666667
55,29041,00:16:08.033,968.033333333,31.3666666667
56,29982,00:16:39.400,999.4,52.8666666667
57,31568,00:17:32.266,1052.26666667,4.76666666667
58,31711,00:17:37.033,1057.03333333,0.7
59,31732,00:17:37.733,1057.73333333,49.9666666667
60,33231,00:18:27.700,1107.7,65.5
61,35196,00:19:33.200,1173.2,22.0333333333
62,35857,00:19:55.233,1195.23333333,66.4666666667
63,37851,00:21:01.700,1261.7,6.6
64,38049,00:21:08.300,1268.3,0.8
65,38073,00:21:09.100,1269.1,51.3333333333
66,39613,00:22:00.433,1320.43333333,21.3666666667
67,40254,00:22:21.800,1341.8,2.1
68,40317,00:22:23.900,1343.9,114.233333333
69,43744,00:24:18.133,1458.13333333,2.76666666667
70,43827,00:24:20.900,1460.9,15.5
71,44292,00:24:36.400,1476.4,1.2
72,44328,00:24:37.600,1477.6,9.56666666667
73,44615,00:24:47.166,1487.16666667,0.5
