00:00:00.233,00:00:00.733,00:00:01.233,00:00:02.000,00:00:07.000,00:00:17.900,00:00:31.000,00:00:37.833,00:00:40.233,00:00:47.833,00:01:39.933,00:01:43.666,00:02:01.366,00:02:08.033,00:03:11.033,00:03:12.466,00:03:46.566,00:03:47.666,00:03:52.700,00:03:59.766,00:04:08.866,00:04:10.266,00:04:16.233,00:04:44.700,00:05:40.866,00:05:43.966,00:05:56.000,00:06:21.033,00:06:36.466,00:06:45.766,00:06:48.500,00:06:54.433,00:07:03.133,00:07:26.600,00:07:49.400,00:07:50.900,00:09:02.066,00:09:09.866,00:10:57.033,00:11:54.933,00:12:01.033,00:12:19.700,00:12:24.366,00:12:28.133,00:13:54.733,00:13:59.366,00:15:21.033,00:15:45.166,00:16:08.033,00:16:39.400,00:17:32.266,00:17:37.033,00:17:37.733,00:18:27.700,00:19:33.233,00:19:55.233,00:21:01.700,00:21:08.300,00:21:09.100,00:22:00.433,00:22:21.800,00:22:23.900,00:24:18.133,00:24:20.933,00:24:36.400,00:24:37.600,00:24:47.333
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,7,00:00:00.233,0.233333333333,0.5
2,22,00:00:00.733,0.733333333333,0.5
3,37,00:00:01.233,1.23333333333,0.766666666667
4,60,00:00:02.000,2.0,5.0
5,210,00:00:07.000,7.0,10.9
6,537,00:00:17.900,17.9,13.1
7,930,00:00:31.000,31.0,6.83333333333
8,1135,00:00:37.833,37.8333333333,2.4
9,1207,00:00:40.233,40.2333333333,7.6
10,1435,00:00:47.833,47.8333333333,52.1
11,2998,00:01:39.933,99.9333333333,3.73333333333
12,3110,00:01:43.666,103.666666667,17.7
13,3641,00:02:01.366,121.366666667,6.66666666667
14,3841,00:02:08.033,128.033333333,63.0
15,5731,00:03:11.033,191.033333333,1.43333333333
16,5774,00:03:12.466,192.466666667,34.1
17,6797,00:03:46.566,226.566666667,1.1
18,6830,00:03:47.666,227.666666667,5.03333333333
19,6981,00:03:52.700,232.7,7.06666666667
20,7193,00:03:59.766,239.766666667,9.1
21,7466,00:04:08.866,248.866666667,1.4
22,7508,00:04:10.266,250.266666667,5.96666666667
23,7687,00:04:16.233,256.233333333,28.4666666667
24,8541,00:04:44.700,284.7,56.1666666667
25,10226,00:05:40.866,340.866666667,3.1
26,10319,00:05:43.966,343.966666667,12.0333333333
27,10680,00:05:56.000,356.0,25.0333333333
28,11431,00:06:21.033,381.033333333,15.4333333333
29,11894,00:06:36.466,396.466666667,9.3
30,12173,00:06:45.766,405.766666667,2.73333333333
31,12255,00:06:48.500,408.5,5.93333333333
32,12433,00:06:54.433,414.433333333,8.7
33,12694,00:07:03.133,423.133333333,23.4666666667
34,13398,00:07:26.600,446.6,22.8
35,14082,00:07:49.400,469.4,1.5
36,14127,00:07:50.900,470.9,71.1666666667
37,16262,00:09:02.066,542.066666667,7.8
38,16496,00:09:09.866,549.866666667,107.166666667
39,19711,00:10:57.033,657.033333333,57.9
40,21448,00:11:54.933,714.933333333,6.1
41,21631,00:12:01.033,721.033333333,18.6666666667
42,22191,00:12:19.700,739.7,4.66666666667
43,22331,00:12:24.366,744.366666667,3.76666666667
44,22444,00:12:28.133,748.133333333,86.6
45,25042,00:13:54.733,834.733333333,4.63333333333
46,25181,00:13:59.366,839.366666667,81.6666666667
47,27631,00:15:21.033,921.033333333,24.1333333333
48,28355,00:15:45.166,945.166666667,22.8666666667
49,29041,00:16:08.033,968.033333333,31.3666666667
50,29982,00:16:39.400,999.4,52.8666666667
51,31568,00:17:32.266,1052.26666667,4.76666666667
52,31711,00:17:37.033,1057.03333333,0.7
53,31732,00:17:37.733,1057.73333333,49.9666666667
54,33231,00:18:27.700,1107.7,65.5333333333
55,35197,00:19:33.233,1173.23333333,22.0
56,35857,00:19:55.233,1195.23333333,66.4666666667
57,37851,00:21:01.700,1261.7,6.6
58,38049,00:21:08.300,1268.3,0.8
59,38073,00:21:09.100,1269.1,51.3333333333
60,39613,00:22:00.433,1320.43333333,21.3666666667
61,40254,00:22:21.800,1341.8,2.1
62,40317,00:22:23.900,1343.9,114.233333333
63,43744,00:24:18.133,1458.13333333,2.8
64,43828,00:24:20.933,1460.93333333,15.4666666667
65,44292,00:24:36.400,1476.4,1.2
66,44328,00:24:37.600,1477.6,9.73333333333
67,44620,00:24:47.333,1487.33333333,0.333333333333
