00:00:00.233,00:00:07.000,00:00:37.833,00:00:47.833,00:01:43.666,00:02:01.366,00:02:08.033,00:03:11.033,00:03:59.766,00:04:08.866,00:04:10.266,00:04:16.233,00:05:40.866,00:05:43.966,00:06:21.033,00:06:36.466,00:07:03.133,00:07:26.600,00:07:49.400,00:07:50.900,00:09:02.066,00:11:54.933,00:12:01.033,00:12:19.700,00:13:59.366,00:19:55.233,00:21:08.300,00:21:09.100,00:22:23.900,00:24:18.133,00:24:36.400,00:24:37.600,00:24:47.333
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,7,00:00:00.233,0.233333333333,6.76666666667
2,210,00:00:07.000,7.0,30.8333333333
3,1135,00:00:37.833,37.8333333333,10.0
4,1435,00:00:47.833,47.8333333333,55.8333333333
5,3110,00:01:43.666,103.666666667,17.7
6,3641,00:02:01.366,121.366666667,6.66666666667
7,3841,00:02:08.033,128.033333333,63.0
8,5731,00:03:11.033,191.033333333,48.7333333333
9,7193,00:03:59.766,239.766666667,9.1
10,7466,00:04:08.866,248.866666667,1.4
11,7508,00:04:10.266,250.266666667,5.96666666667
12,7687,00:04:16.233,256.233333333,84.6333333333
13,10226,00:05:40.866,340.866666667,3.1
14,10319,00:05:43.966,343.966666667,37.0666666667
15,11431,00:06:21.033,381.033333333,15.4333333333
16,11894,00:06:36.466,396.466666667,26.6666666667
17,12694,00:07:03.133,423.133333333,23.4666666667
18,13398,00:07:26.600,446.6,22.8
19,14082,00:07:49.400,469.4,1.5
20,14127,00:07:50.900,470.9,71.1666666667
21,16262,00:09:02.066,542.066666667,172.866666667
22,21448,00:11:54.933,714.933333333,6.1
23,21631,00:12:01.033,721.033333333,18.6666666667
24,22191,00:12:19.700,739.7,99.6666666667
25,25181,00:13:59.366,839.366666667,355.866666667
26,35857,00:19:55.233,1195.23333333,73.0666666667
27,38049,00:21:08.300,1268.3,0.8
28,38073,00:21:09.100,1269.1,74.8
29,40317,00:22:23.900,1343.9,114.233333333
30,43744,00:24:18.133,1458.13333333,18.2666666667
31,44292,00:24:36.400,1476.4,1.2
32,44328,00:24:37.600,1477.6,9.73333333333
33,44620,00:24:47.333,1487.33333333,0.333333333333
